PM2_5,PM10,SO2,NO2,CO,O3,lat,lng,U,V
48.6,62.9,51.97,22.82,0.65,40.84,30.59,112.19,-1.57,-4.52
51.27,68.76,49.71,25.61,0.74,39.7,30.58,112.35,-1.44,-4.74
50.63,67.2,49.98,27.14,0.75,39.92,30.57,112.51,-0.97,-4.79
52.6,69.24,52.22,30.22,0.81,38.76,30.56,112.67,-0.6,-3.99
53.46,70.58,54.72,32.99,0.86,38.48,30.55,112.82,-0.68,-3.24
53.48,71.65,56.97,35.57,0.9,38.11,30.54,112.98,-1.11,-2.7
54.03,73.03,57.7,37.65,0.93,38.69,30.53,113.14,-1.46,-2.91
53.9,73.13,57.49,40.34,0.95,38.98,30.52,113.3,-1.39,-2.89
53.95,74.12,56.93,42.98,0.97,38.17,30.51,113.45,-1.2,-2.48
53.49,74.25,52.59,42.95,0.98,38.5,30.5,113.61,-1.01,-2.22
54.25,75.86,50.64,46.82,1,36.08,30.49,113.77,-0.87,-1.53
56.08,78.9,49.92,49.92,1.04,34.61,30.48,113.93,-0.75,-0.69
59.02,84.24,50.72,55.96,1.1,30.39,30.47,114.08,-0.85,-0.14
59.23,84.35,51.82,59.43,1.11,30.12,30.46,114.24,-1.11,0.72
64.77,91.08,52.3,62.86,1.23,26.83,30.44,114.4,-1.34,0.99
66.93,92.02,47.77,58.49,1.22,28.87,30.43,114.55,-1.91,1.19
73.3,97.05,46.62,60.34,1.27,26.09,30.42,114.71,-2.54,1.57
84.46,107.02,49.48,59.43,1.33,24.22,30.41,114.87,-2.78,1.78
90.76,110.15,47.37,54.73,1.28,26.23,30.4,115.03,-2.93,2.23
95.38,112.85,45.32,50.36,1.25,28.83,30.38,115.18,-2.99,3.06
97.58,114.28,45.85,47.87,1.24,30.88,30.37,115.34,-3.29,4.39
94.96,110.31,44.33,44.56,1.15,33.34,30.36,115.5,-3.96,5.44
87.67,101.52,39.26,40.63,1,35.32,30.34,115.65,-4.25,5.42
83.6,96.51,37.71,38.79,0.93,36.21,30.33,115.81,-3.92,4.7
83.15,98.71,37.97,35.1,0.92,34.51,30.31,115.97,-2.45,2.88
88.67,106.13,44.4,32.9,0.94,33.54,30.3,116.12,-0.9,1.7
97.98,118.55,51.92,30.29,0.99,31.95,30.29,116.28,-0.41,2.77
105.29,124.71,57.57,29.18,0.97,31.5,30.27,116.44,-0.13,3.84
103.76,123.31,51.48,28.59,0.95,30.64,30.26,116.59,0.22,3.68
97.97,116.54,45.77,26.71,0.88,31.26,30.24,116.75,0.66,4.42
83.21,99.38,38.57,21.63,0.72,38.01,30.23,116.91,0.9,6.34
79.11,94.36,35.29,21.07,0.69,36.54,30.21,117.06,0.18,6.29
76.19,89.19,33.75,20.12,0.66,37.02,30.2,117.22,-1.31,8.58
73.29,84.29,33.04,18.87,0.64,38.29,30.18,117.37,-1.86,8.97
71.79,81.23,32.9,18.44,0.63,38.76,30.16,117.53,-0.85,8.95
69.67,77.77,33.33,18.03,0.63,38.88,30.15,117.69,0.33,8.51
67.03,73.78,32.67,17.05,0.62,39.82,30.13,117.84,0.01,8.44
65.47,71.12,32.32,16.2,0.65,40.87,30.12,118,-1.03,8.69
64.37,71.11,31.78,16.58,0.72,40.77,30.1,118.16,-0.11,8.65
63.86,72.88,30.28,17.67,0.82,39.9,30.08,118.31,0.8,7.82
61.43,75.55,29.5,20.22,0.96,38.68,30.07,118.47,-0.37,4.85
56.11,70.98,28.02,20.69,0.97,40.67,30.05,118.62,-2.46,4.86
50.95,64.42,25.79,18.82,0.89,43.09,30.03,118.78,-2.3,5.97
49.62,63.49,24.55,18.59,0.9,43.07,30.01,118.93,0.51,6.69
47.86,62.11,23.03,18.6,0.9,42.77,29.99,119.09,1.58,5.3
47.46,63.12,21.89,20.11,0.92,40.84,29.98,119.25,1.07,4.45
47.21,64.88,21.87,22.84,0.96,38.8,29.96,119.4,0.67,4.81
48.23,69.34,23.36,31.53,1.05,34.46,29.94,119.56,0.65,4.82
49.91,73.82,24.66,37.09,1.11,32.43,29.92,119.71,0.8,4.4
51.08,77.24,25.4,38.66,1.15,32.02,29.9,119.87,-0.29,6.21
52.18,80.9,26.84,41.63,1.2,31.28,29.88,120.02,-0.78,7.55
56.28,89.84,30.09,50.61,1.29,27.53,29.86,120.18,0.17,6.95
57.1,93.71,33.47,56.9,1.28,26.09,29.84,120.33,0.21,5.37
55.56,91.26,34.7,58.08,1.23,26.51,29.83,120.49,-0.69,6.21
53.89,88.56,33.64,56.48,1.19,27.57,29.81,120.64,-1.81,6.13
54.06,88.49,33.49,57.75,1.18,29.02,29.79,120.8,-3.4,6.46
51.83,83.99,32.26,55.41,1.13,31.12,29.77,120.95,-3.96,7.08
47.04,75.09,28.99,45.53,1.02,35.25,29.74,121.11,-1.83,6.52
45.54,73.08,28.41,47.49,1.02,34.66,29.72,121.26,-0.35,5.51
43.51,71.82,26.97,49.52,1.04,33.42,29.7,121.42,-1.26,5.12
38.62,66.76,25.47,45.1,1.03,32.28,29.68,121.57,-1.59,5.71
37.66,63.76,24.8,46.88,0.93,32.25,29.66,121.73,-1.07,5.19
32.56,52.99,23.96,36.37,0.64,41,29.62,122.03,-1.71,5.01
1.06,1.19,0.22,0.5,0.11,76.53,29.18,84.25,3.75,1.54
0.94,1.06,0.19,0.49,0.1,74.73,29.2,84.41,3.12,-1.09
0.88,0.99,0.17,0.58,0.11,75.17,29.23,84.56,1.05,-0.56
0.82,0.93,0.15,0.56,0.11,75.68,29.25,84.71,1.78,0.32
0.75,0.85,0.13,0.52,0.11,76.5,29.28,84.87,2.59,0.49
0.71,0.81,0.12,0.51,0.11,76.32,29.3,85.02,2.77,0.36
0.67,0.78,0.11,0.49,0.11,75.72,29.33,85.17,2.51,-1.3
0.61,0.74,0.1,0.43,0.11,75.34,29.36,85.32,1.91,-2.97
0.57,0.7,0.09,0.38,0.11,75.29,29.38,85.48,3.39,-3.8
0.54,0.67,0.08,0.36,0.11,75.48,29.4,85.63,5.72,-2.37
0.51,0.74,0.08,0.38,0.11,76.43,29.43,85.78,5.05,-1.85
0.49,0.79,0.07,0.36,0.11,78.1,29.45,85.94,5.16,-2.92
0.47,0.75,0.07,0.31,0.11,79.09,29.48,86.09,7.31,-0.98
0.45,0.69,0.07,0.29,0.11,79.35,29.5,86.25,7.01,2
0.42,0.66,0.06,0.25,0.11,79.52,29.53,86.4,6.99,-0.87
0.4,0.64,0.06,0.21,0.11,80.91,29.55,86.55,8.08,-4.44
0.37,0.62,0.06,0.18,0.11,82.05,29.57,86.71,8.12,-4.3
0.36,0.62,0.05,0.17,0.11,81.73,29.6,86.86,8.49,-2.62
0.35,0.61,0.05,0.16,0.11,83.2,29.62,87.01,8.09,-0.49
0.34,0.6,0.05,0.15,0.11,82.7,29.64,87.17,7.47,0.71
0.33,0.59,0.05,0.14,0.11,85.8,29.66,87.32,9.95,0.59
0.33,0.58,0.05,0.15,0.12,85.38,29.69,87.48,11.66,-0.58
0.34,0.58,0.05,0.21,0.12,83.81,29.71,87.63,7.35,-1.45
0.34,0.57,0.05,0.18,0.12,83.33,29.73,87.79,3.55,0.77
0.34,0.55,0.05,0.2,0.11,82.26,29.75,87.94,4.4,1.13
0.34,0.53,0.05,0.27,0.11,81.36,29.77,88.1,5.78,-0.1
0.34,0.52,0.05,0.27,0.12,81.63,29.8,88.25,7.13,-0.27
0.35,0.51,0.05,0.28,0.12,81.01,29.82,88.4,6.62,0.09
0.35,0.51,0.05,0.26,0.12,81.04,29.84,88.56,4.72,0.63
0.35,0.51,0.05,0.23,0.12,81.06,29.86,88.71,5.28,2.52
0.35,0.51,0.05,0.2,0.12,80.23,29.88,88.87,6.51,2.35
0.37,0.52,0.05,0.19,0.12,78.81,29.9,89.02,5.53,0.68
0.39,0.55,0.05,0.18,0.12,79.6,29.92,89.18,4.74,0.29
0.39,0.56,0.05,0.18,0.12,80.31,29.94,89.33,6.1,0.7
0.39,0.55,0.05,0.16,0.12,81.39,29.96,89.49,7.42,1.02
0.39,0.55,0.05,0.16,0.12,80.96,29.98,89.64,7.13,1.09
0.39,0.55,0.05,0.17,0.12,79.79,30,89.8,6.51,2.06
0.4,0.56,0.05,0.18,0.12,79.82,30.02,89.96,7.47,2.29
0.38,0.5,0.05,0.16,0.12,86.95,30.04,90.11,9.91,0.07
0.4,0.59,0.05,0.18,0.12,84.48,30.06,90.27,10.44,-1.4
0.48,0.74,0.05,0.28,0.12,82.35,30.07,90.42,8.32,0.57
0.7,1.12,0.06,0.6,0.12,82,30.09,90.58,7.49,2.16
0.92,1.49,0.06,0.8,0.13,81.37,30.11,90.73,8.29,1.84
1.06,1.72,0.06,0.83,0.13,81.4,30.13,90.89,8.88,2.16
1.13,1.81,0.06,0.84,0.13,82.03,30.15,91.05,7.64,3.74
1.3,2.03,0.07,1.08,0.14,84.13,30.17,91.2,4.26,4.91
1.26,2,0.08,1.19,0.14,85.11,30.18,91.36,1.9,4.55
0.91,1.42,0.08,0.65,0.13,85.46,30.2,91.51,2.04,3.42
0.7,1.01,0.07,0.36,0.12,84.72,30.22,91.67,3.36,3.1
0.63,0.82,0.07,0.26,0.12,86.67,30.23,91.83,4.99,2.97
0.6,0.74,0.07,0.22,0.12,85.87,30.25,91.98,6.28,2.61
0.58,0.71,0.07,0.19,0.12,86.51,30.27,92.14,6.71,1.97
0.58,0.71,0.07,0.17,0.12,86,30.28,92.29,7.09,1.99
0.58,0.7,0.07,0.16,0.12,85.21,30.3,92.45,7.21,2.45
0.57,0.69,0.07,0.15,0.12,84.6,30.32,92.61,6.88,2.2
0.56,0.68,0.08,0.15,0.12,85.68,30.33,92.76,6.87,1.7
0.56,0.67,0.08,0.15,0.12,87.72,30.35,92.92,5.91,0.97
0.56,0.67,0.08,0.16,0.12,90.08,30.36,93.08,4.07,0.49
0.55,0.63,0.08,0.16,0.12,91.22,30.38,93.23,3.73,1.01
0.55,0.64,0.08,0.16,0.12,91.01,30.39,93.39,4.46,2.17
0.56,0.65,0.08,0.17,0.12,90.05,30.41,93.55,5.56,2.96
0.58,0.67,0.08,0.19,0.12,87.1,30.42,93.7,5.37,2.98
0.63,0.72,0.08,0.19,0.12,84.02,30.44,93.86,2.52,1.54
0.69,0.78,0.09,0.21,0.12,81.42,30.45,94.02,0.69,-0.73
0.73,0.82,0.09,0.23,0.12,80.56,30.46,94.17,0.44,-1.2
0.76,0.83,0.1,0.24,0.12,81.17,30.48,94.33,-0.51,-1.99
0.74,0.82,0.1,0.21,0.12,82.23,30.49,94.49,-0.17,-2.14
0.73,0.8,0.09,0.22,0.12,80.68,30.5,94.65,2.22,-1.41
0.7,0.76,0.09,0.21,0.12,86.22,30.52,94.8,2.38,-0.69
0.67,0.74,0.09,0.21,0.12,90.7,30.53,94.96,0.03,-0.14
0.64,0.71,0.08,0.21,0.12,89.26,30.54,95.12,2.81,1.66
0.68,0.74,0.09,0.22,0.12,87.98,30.56,95.27,7.4,1.71
0.77,0.83,0.09,0.27,0.12,83.3,30.57,95.43,6.97,4.11
0.73,0.8,0.09,0.25,0.12,82.71,30.58,95.59,7,4.96
0.75,0.82,0.09,0.35,0.12,82.79,30.59,95.75,8.21,4.31
0.77,0.85,0.09,0.44,0.12,82.74,30.6,95.9,8.03,4.15
0.78,0.85,0.09,0.46,0.12,82.66,30.62,96.06,7.97,2.75
0.78,0.85,0.09,0.44,0.12,83.18,30.63,96.22,6.14,0.74
0.79,0.86,0.09,0.39,0.12,84.73,30.64,96.38,2.19,0.96
0.82,0.9,0.09,0.4,0.12,85.41,30.65,96.53,1.8,1.37
0.83,0.91,0.09,0.42,0.12,86.03,30.66,96.69,4.6,4.09
0.83,0.9,0.09,0.45,0.12,86.08,30.67,96.85,7.37,5.4
0.83,0.9,0.09,0.43,0.12,86.96,30.68,97.01,9.92,3.33
0.87,0.95,0.1,0.47,0.12,86.4,30.69,97.16,10.52,2.46
0.92,1.01,0.1,0.53,0.12,85.72,30.7,97.32,6.61,0.74
0.94,1.02,0.11,0.51,0.13,87.87,30.71,97.48,2.21,-1.74
0.92,1,0.1,0.41,0.13,89.96,30.72,97.64,2.85,-2.42
0.89,0.97,0.1,0.34,0.13,90.46,30.73,97.8,5.78,-2.41
0.88,0.96,0.1,0.3,0.13,91.09,30.74,97.95,7.91,-0.94
0.89,0.97,0.1,0.29,0.13,90.4,30.75,98.11,8.92,1.15
0.9,0.98,0.1,0.29,0.13,89.66,30.76,98.27,8.5,0.78
0.89,0.97,0.1,0.29,0.13,89.75,30.76,98.43,7.32,0.23
0.88,0.95,0.09,0.26,0.13,89.2,30.77,98.58,8.57,0.78
0.87,0.94,0.09,0.27,0.13,89.63,30.78,98.74,9.2,-0.71
0.92,1,0.11,0.38,0.13,88.62,30.79,98.9,3.95,-1.14
0.99,1.07,0.15,0.6,0.13,92.67,30.8,99.06,1.65,1.29
0.96,1.04,0.15,0.54,0.13,89.46,30.8,99.22,5.62,1.65
0.91,1,0.13,0.45,0.13,90.05,30.81,99.38,8.41,1.5
0.91,0.99,0.13,0.44,0.13,90.27,30.82,99.53,9.05,1.02
0.93,1.01,0.14,0.47,0.13,90.57,30.82,99.69,9.08,0
0.94,1.02,0.14,0.47,0.13,91.01,30.83,99.85,9.85,-0.83
0.95,1.04,0.14,0.52,0.13,90.8,30.84,100.01,10.4,-1.75
1.02,1.11,0.15,0.75,0.13,88.42,30.84,100.17,8.36,-0.9
1.01,1.09,0.16,0.9,0.13,89.98,30.85,100.32,7.23,0.36
0.98,1.06,0.15,0.84,0.13,89.24,30.86,100.48,9.3,-0.77
0.92,0.99,0.14,0.67,0.13,90.72,30.86,100.64,10.71,-2.22
0.95,1.03,0.14,0.69,0.13,89.98,30.87,100.8,11.49,-2.21
1.08,1.18,0.17,0.85,0.14,86.6,30.87,100.96,10.13,-2.19
1.27,1.38,0.23,1.18,0.14,92.32,30.88,101.12,5.94,-2.12
1.14,1.24,0.2,0.91,0.13,89.88,30.88,101.27,5.56,-2.61
0.93,1.01,0.16,0.61,0.13,92.28,30.89,101.43,8.92,-2.39
0.9,0.98,0.15,0.56,0.13,93.2,30.89,101.59,10.22,-2.94
1.32,1.07,0.28,0.88,0.15,91.7,30.9,101.75,6.74,-2.43
1.61,1.25,0.42,1.12,0.15,94.12,30.9,101.91,2.39,0.05
1.39,1.11,0.28,0.86,0.15,92.44,30.9,102.07,3.92,0.41
0.94,0.94,0.24,0.72,0.15,93.47,30.91,102.23,7.52,0.07
0.91,0.81,0.22,0.7,0.14,92.2,30.91,102.38,8.11,-1.2
0.85,0.63,0.2,0.78,0.14,90.9,30.91,102.54,7.96,-4.15
0.69,0.48,0.17,0.69,0.13,91.89,30.92,102.7,9.14,-5.42
0.61,0.42,0.15,0.58,0.13,93.47,30.92,102.86,11.14,-4.71
3.67,3,1.07,1.69,0.16,90.48,30.92,103.02,7.14,-2.72
57.57,55.96,19.43,17.53,0.68,82.16,30.93,103.18,0.29,0
96.47,102.12,36.32,27.15,1.11,75.01,30.93,103.33,-0.93,0.3
116.28,130.16,50.68,42.39,1.34,61.08,30.93,103.49,-0.06,0.1
115.4,140.95,56.98,57.88,1.45,47.25,30.93,103.65,-0.35,-0.88
120.69,161.14,62,70.53,1.55,37.56,30.93,103.81,-1.04,-1.75
136.08,190.77,63.71,73.61,1.68,33.93,30.93,103.97,-1.25,-2.08
165.61,235.64,64.61,73.81,1.91,31.52,30.94,104.13,-1.09,-1.88
190.41,260.83,61.22,65.86,2.04,35.15,30.94,104.29,-0.96,-1.41
201.56,275.67,53.48,55.81,2.12,39.03,30.94,104.44,-0.89,-1.45
203.09,277.59,40.28,43.34,2.13,45.38,30.94,104.6,-0.87,-1.94
192.1,260.62,29.96,32.47,2.05,51.38,30.94,104.76,-0.69,-2.4
187.4,252.58,26.39,28.72,2.05,52.96,30.94,104.92,-0.6,-2.49
184.88,251.61,25.78,27.84,2.1,51.74,30.94,105.08,-0.88,-2.36
164.65,218.13,26.14,29.44,1.96,49.67,30.94,105.24,-1.36,-2.38
143.58,183.53,23.3,26.66,1.78,51.31,30.94,105.4,-2.01,-2.48
124.92,155.29,20.3,22.25,1.62,54.46,30.94,105.56,-2.51,-2.72
105.48,133.34,20.26,20.61,1.5,56.17,30.94,105.71,-2.47,-2.96
89.52,115.98,22.82,20.01,1.41,57.64,30.94,105.87,-1.87,-2.87
80.67,107.89,27.16,22,1.4,55.68,30.93,106.03,-1.42,-2.68
76.12,102.15,27.69,20.01,1.35,56.33,30.93,106.19,-1.6,-2.51
72.05,95.81,26.34,17.72,1.26,57.31,30.93,106.35,-2.08,-2.15
71.82,95.23,27.06,17.91,1.25,56.34,30.93,106.51,-2.09,-1.95
73.6,96.53,28.19,18.25,1.23,55.78,30.93,106.67,-1.41,-2.12
76.99,100.18,29.96,18.94,1.22,54.97,30.93,106.82,-1.6,-2.33
77.15,100.32,31.33,18.8,1.16,53.77,30.92,106.98,-2.72,-1.7
78.03,101.33,33.32,18.62,1.11,52.44,30.92,107.14,-2.71,-0.8
80.29,103.52,36.16,17.52,1.07,52.64,30.92,107.3,-2.45,-0.61
82.3,105.75,40.63,18.35,1.04,51.65,30.91,107.46,-3.05,-0.89
82.1,105.11,43.65,18.48,0.99,50.12,30.91,107.62,-3.06,-1.26
86.29,110.57,49.65,19.13,1.01,49.24,30.91,107.77,-2.89,-1.45
86.48,110.48,60.58,21.58,0.96,45.99,30.9,107.93,-3.38,-0.89
84.56,107.8,74.05,24.6,0.89,42.12,30.9,108.09,-3.5,-0.53
91.75,115.67,112.98,32.85,0.93,34.79,30.9,108.25,-3,-1.38
79.97,98.06,88.48,26.93,0.78,40.48,30.89,108.41,-2.97,-2.02
61.88,71.52,37.69,11.9,0.58,54.81,30.89,108.57,-3.33,-1.01
60.03,67.45,32.3,9.66,0.55,57.86,30.88,108.73,-3.39,-1
58.84,66.01,30.01,9.21,0.54,59.92,30.88,108.88,-3.5,-1.89
59.89,67.22,31.26,9.37,0.55,62.7,30.87,109.04,-3.04,-2.16
60.84,68.48,34.09,9.88,0.57,63.87,30.87,109.2,-1.39,-1.03
59.22,66.75,35.68,9.99,0.57,66.15,30.86,109.36,0.18,1.08
55.3,62.27,32.04,9.52,0.54,67.02,30.86,109.52,0.95,4.28
55.26,62.16,29.38,9.46,0.54,67.11,30.85,109.68,1.37,5.75
53.07,59.52,24.7,8.9,0.52,66.77,30.84,109.83,0.86,5.07
50.65,56.68,22.6,8.55,0.49,67.67,30.84,109.99,0.96,5.01
48.2,53.82,20.73,8.25,0.47,67.59,30.83,110.15,1.14,3.81
47.61,53.12,19.9,8.23,0.46,66.2,30.82,110.31,0.32,1.3
47.19,52.65,19.4,8.21,0.46,66.24,30.82,110.47,-0.43,1.08
46.92,52.4,19.46,8.24,0.46,65.68,30.81,110.62,-1.77,1.09
48.55,54.51,24.33,9.4,0.47,63.7,30.8,110.78,-3.53,1.81
48.98,55.39,29.77,10.96,0.47,61.15,30.8,110.94,-3.28,2.15
45.51,51.76,32.72,12.27,0.45,57.77,30.79,111.1,-1.67,0.08
69.55,83.21,82.55,26.19,0.67,45.61,30.78,111.26,-0.66,0.52
80.66,97.74,104.26,32.08,0.77,40.07,30.77,111.42,-0.41,-0.05
52.5,61.06,39.83,17.59,0.51,47.03,30.76,111.57,-1.19,-1.48
55.65,64.12,40,18.68,0.53,45.59,30.76,111.73,-1.6,-2.87
58.11,66.81,40.72,18.96,0.54,43.49,30.75,111.89,-1.47,-3.36
44.66,56.84,45.07,20.55,0.56,42.06,30.74,112.05,-1.59,-4.17
46.6,59.6,45.28,20.53,0.61,41.91,30.73,112.2,-1.55,-4.72
48.45,63.61,39.76,22.23,0.66,41.13,30.72,112.36,-1.06,-4.72
50.3,66.09,45,25.53,0.72,39.97,30.71,112.52,-0.61,-4.59
52.84,69.09,49.12,29.1,0.79,38.47,30.7,112.68,-0.35,-3.91
54.47,71.19,51.58,31.63,0.84,38.09,30.69,112.84,-0.55,-2.98
55.23,73.45,56.61,35.38,0.9,36.76,30.68,112.99,-1.25,-2.6
55.74,74.83,58.75,38.14,0.94,36.06,30.67,113.15,-1.71,-3.1
55.13,73.8,56.16,38.09,0.92,37.7,30.66,113.31,-1.6,-3.13
54.6,73.92,53.78,40.27,0.93,37.26,30.65,113.47,-1.37,-2.65
54.75,75.5,51.82,43.2,0.96,35.69,30.64,113.62,-1.19,-2.62
55.88,78.73,52.38,52.16,1,29.99,30.63,113.78,-1.05,-1.99
58.03,83.12,53.25,58.71,1.07,26.11,30.62,113.94,-1,-1.04
64,95.38,61.44,69.78,1.25,19.61,30.6,114.1,-1.15,-0.45
75.02,115.39,77.57,81.11,1.67,15.78,30.59,114.25,-1.74,0.53
82.98,121.25,87.84,77.69,1.76,14.06,30.58,114.41,-2.39,1.13
81.71,110.19,69.64,69,1.45,18.89,30.57,114.57,-2.88,1.47
81.2,101.38,50.22,59.59,1.23,22.68,30.56,114.73,-3.36,1.77
87.35,104.66,47.49,55.24,1.22,24.03,30.54,114.88,-3.46,1.8
92.33,107.49,44.46,51.55,1.2,26.04,30.53,115.04,-3.15,1.97
94.23,109.23,43.82,48.64,1.19,28.38,30.52,115.2,-2.92,2.74
92.65,107.79,44.77,46.34,1.16,30.39,30.5,115.35,-3.1,4.23
89.05,103.81,44.01,43.7,1.1,31.91,30.49,115.51,-3.34,5.08
79.54,93.08,39.48,40.18,0.96,32.01,30.48,115.67,-3.33,4.97
75.84,88.7,36.9,38.12,0.89,33.3,30.46,115.83,-3.2,5
75.61,91.11,37.32,34.22,0.9,32.84,30.45,115.98,-2.2,4.65
77.4,95.39,42.85,31.45,0.93,31.56,30.44,116.14,-0.9,3.04
82.31,104.5,50.62,29.02,1.06,29.22,30.42,116.3,0.03,2.67
86.88,109.85,57.19,28.35,1.15,27.9,30.41,116.45,0.67,3.52
88.62,112.4,52.67,28.2,1.18,27.12,30.39,116.61,0.68,3.3
88.74,112.4,48.04,26.94,1.14,27.37,30.38,116.77,0.8,3.46
86,108.74,43.17,25,1.03,29.43,30.36,116.92,1.16,4.74
81.26,102,40.42,23.24,0.92,31.25,30.35,117.08,1.39,4.49
79.8,96.69,37.11,21.63,0.8,33.22,30.33,117.24,0.59,7.49
74.9,88.13,35.57,19.66,0.72,36.06,30.32,117.39,-0.66,8.57
72.85,83.5,33.71,18.54,0.68,37.19,30.3,117.55,-0.04,10.18
70.65,79.58,32.84,18.02,0.67,37.79,30.28,117.71,1.72,9.78
68.16,75.49,31.73,17.37,0.66,38.22,30.27,117.86,1.82,9.64
66.62,73,31.01,16.82,0.67,38.85,30.25,118.02,1.05,10.02
63.93,71.59,30.9,17.15,0.72,39.65,30.23,118.17,1,9.61
62.18,72.05,29.1,18.15,0.8,39.46,30.22,118.33,-0.16,9.38
57.75,70.93,27.77,19.52,0.87,39.49,30.2,118.49,-1.73,7.16
55,69.81,26.08,20.7,0.92,40.16,30.18,118.64,-1.9,7.3
51.05,65.71,24.61,19.68,0.89,41.86,30.17,118.8,-0.34,8.31
49.5,64.94,23.79,19.76,0.89,42.09,30.15,118.95,1.14,7.88
47.36,63.31,22.55,19.81,0.89,42.19,30.13,119.11,1.06,5.63
46.57,63.84,21.28,21.09,0.91,40.62,30.11,119.27,0.93,3.62
46.26,64.65,21.16,23.4,0.95,39.37,30.09,119.42,0.91,2.12
47.32,68.13,23.47,34.82,1.06,34.03,30.07,119.58,0.94,2.31
49.69,73.74,26.09,45.4,1.17,29.3,30.06,119.73,0.97,2.1
52.22,79.85,27.76,48.46,1.27,27.35,30.04,119.89,0.56,3.16
55.54,88.57,30.32,50.77,1.39,25.34,30.02,120.04,-0.49,5.53
58.12,94.1,32.77,56.42,1.45,23.49,30,120.2,-0.79,7.2
59.23,96.93,35.38,60.69,1.43,23.8,29.98,120.36,-0.08,5.9
57.9,94.54,35.7,63.02,1.36,24.66,29.96,120.51,-0.52,5.81
54.55,89.25,34.06,62.26,1.26,25.99,29.94,120.67,-1.69,5.95
52.68,85.45,31.77,57.1,1.18,28.88,29.92,120.82,-2.32,6.81
50.54,81.32,30.35,53.74,1.12,31.22,29.9,120.98,-2.64,7.96
47.51,76.42,28.59,50.31,1.07,33.17,29.88,121.13,-2.03,8.12
46.79,76.39,29.53,54.76,1.12,30.5,29.86,121.29,-1.38,6.6
45.93,77.78,29.65,53.43,1.17,28.3,29.84,121.44,-1.65,5.38
44.32,82.7,32.88,54.33,1.32,23.36,29.82,121.6,-1.83,5.97
41.07,73.05,30.05,54.23,1.09,25.46,29.8,121.75,-1.91,5.18
36.55,62.51,27.77,51.88,0.86,31.25,29.77,121.9,-2.19,5.14
1.03,1.16,0.29,0.58,0.11,81.09,29.2,83.61,7.24,-2.09
0.89,1.01,0.19,0.53,0.11,77.56,29.31,84.22,0.97,-1.43
0.81,0.92,0.16,0.59,0.11,76.32,29.34,84.38,1.9,-2.04
0.76,0.87,0.13,0.51,0.11,78.08,29.36,84.53,0.59,-1.46
0.69,0.79,0.12,0.45,0.11,79.7,29.39,84.68,1.02,-1.66
0.65,0.74,0.11,0.45,0.11,78.73,29.41,84.84,2.02,-1.05
0.62,0.72,0.1,0.45,0.11,76.79,29.44,84.99,1.69,-0.69
0.57,0.69,0.09,0.41,0.11,76.36,29.46,85.14,1.19,-2.45
0.52,0.66,0.08,0.33,0.11,76.41,29.49,85.3,2.22,-4.1
0.49,0.64,0.07,0.28,0.11,76.23,29.51,85.45,5.69,-3.79
0.46,0.61,0.07,0.26,0.11,77.5,29.54,85.6,7.43,-2.15
0.44,0.87,0.07,0.24,0.11,80.02,29.56,85.76,5.11,-0.62
0.42,0.86,0.06,0.22,0.11,80.25,29.59,85.91,6.25,-1.54
0.39,0.8,0.06,0.2,0.11,81.49,29.61,86.06,10.77,-2.63
0.38,0.73,0.06,0.19,0.11,81.86,29.64,86.22,8.96,-0.4
0.37,0.65,0.06,0.19,0.11,81.49,29.66,86.37,5.53,0.43
0.35,0.63,0.05,0.17,0.11,81.88,29.68,86.53,7.32,-1.62
0.34,0.61,0.05,0.15,0.11,84.14,29.71,86.68,10.19,-2.21
0.33,0.62,0.05,0.15,0.11,83.36,29.73,86.83,11.6,-1.5
0.33,0.61,0.05,0.14,0.11,84.17,29.75,86.99,9.73,-0.37
0.32,0.61,0.05,0.14,0.11,84.5,29.78,87.14,7.18,1.38
0.32,0.6,0.05,0.14,0.12,86.53,29.8,87.3,8.64,1.73
0.32,0.6,0.05,0.14,0.12,85.87,29.82,87.45,9.15,0.64
0.33,0.6,0.05,0.16,0.12,85.38,29.84,87.61,5.25,-1.11
0.34,0.58,0.05,0.2,0.12,85.19,29.86,87.76,2.64,-1.28
0.34,0.55,0.05,0.21,0.12,83.26,29.89,87.92,2.88,-0.6
0.34,0.54,0.05,0.24,0.12,82.98,29.91,88.07,4.08,0.71
0.35,0.53,0.05,0.24,0.12,83.68,29.93,88.23,5.86,1.17
0.35,0.53,0.05,0.24,0.12,83.68,29.95,88.38,6.01,0.26
0.35,0.53,0.05,0.23,0.12,82.38,29.97,88.54,5.68,0.25
0.35,0.52,0.05,0.2,0.12,81.85,29.99,88.69,5.81,1.44
0.35,0.51,0.05,0.18,0.12,81.12,30.01,88.85,4.9,1.2
0.35,0.51,0.05,0.16,0.12,80.34,30.03,89,4.12,0.95
0.36,0.52,0.05,0.15,0.12,80.05,30.05,89.16,4.72,2.12
0.36,0.52,0.05,0.15,0.12,79.59,30.07,89.31,6.34,2.3
0.36,0.52,0.05,0.14,0.11,79.3,30.09,89.47,7.94,1.74
0.36,0.52,0.05,0.14,0.11,80.66,30.11,89.62,8.81,1.7
0.36,0.52,0.05,0.14,0.12,80.01,30.13,89.78,8.49,2.28
0.37,0.53,0.05,0.15,0.12,79.24,30.15,89.93,7.59,3.08
